,E,N,namewithoutadditions
10629,2691205.265,1294593.099,Egghof
10630,2691294.553,1294328.18,Hockenbrunnen
10631,2690622.395,1294254.957,Regelsrüti
10632,2692700.388,1293502.357,Chuttler
10633,2692279.924,1292924.06,Hohtannen
10634,2693468.63,1292224.005,Dolchen
10635,2692608.009,1291658.717,Eggrüti
10636,2690946.22,1291580.585,Reiathof
10637,2690121.687,1291050.207,Schlösslibuck
10638,2695477.534,1290449.621,Geren
10639,2692903.932,1289809.359,Isenbüel
10640,2697105.131,1289329.653,Schwizerhus
10641,2691198.765,1288833.273,Birch
10642,2690994.239,1288580.818,Eichhof
10643,2702544.446,1288376.949,Spiesshof
10644,2691204.783,1288286.395,Vrenehof
10645,2690863.892,1288064.078,Brunnenhof
10646,2690749.175,1287910.881,Erlenhof
10647,2701928.226,1286072.882,Beeracker
10648,2696406.673,1285683.976,Schuepis
10649,2703305.152,1284356.678,Rosengarten
10650,2695724.087,1284286.888,Zur Mühle
10651,2707440.351,1283987.728,Unterwald
10652,2704550.529,1283305.355,Im Moos
10653,2703170.282,1282940.003,Karollihof
10655,2697681.811,1282537.575,Gut
10656,2696279.286,1282218.578,Ratihart
10657,2699851.035,1281961.442,Birkenhof
10658,2700319.826,1281758.57,Bleiche
10659,2694666.683,1281613.975,Neuhof
10660,2701167.108,1281376.882,Schupfen
10662,2718067.104,1281348.86,Wis
10663,2691659.2,1281306.214,Im Grüt
10665,2720613.677,1281234.93,Wartburg
10667,2703574.217,1281162.154,Obermettle
10668,2693950.699,1281159.649,Galgenbuck
10669,2720262.32,1281135.273,Sandegg
10670,2717237.726,1281108.786,Jochental
10671,2719182.548,1280972.739,Obermüli
10672,2707731.278,1280874.289,Bleiki
10673,2707451.232,1280842.31,Faleberg
10674,2693863.775,1280840.562,Schneckenacker
10675,2720508.611,1280756.769,Eugensberg
10676,2729043.991,1280754.518,Ziegelhof
10677,2690928.9,1280754.968,Steinenberg
10678,2720965.135,1280773.631,Ebni
10679,2696678.071,1280741.154,Waldesruh
10680,2716946.737,1280734.222,Hohenrain
10681,2707290.651,1280658.838,Erlenhof
10682,2723000.704,1280670.738,Ulmberg
10683,2704441.219,1280647.492,Brumad
10684,2724718.029,1280613.589,Agerstenbach
10685,2717940.955,1280585.672,Kapf
10686,2694550.389,1280543.88,Tüfebach
10687,2723443.722,1280498.826,Neugut
10688,2717053.544,1280563.97,Tal
10689,2721808.173,1280474.986,Walestä
10690,2703168.916,1280410.034,Bergäcker
10691,2696853.414,1280337.6,Schlattegg
10692,2724064.899,1280346.841,Zelglihof
10693,2703121.838,1280257.968,Sonnhalde
10694,2704445.674,1280151.657,Schleebüel
10695,2699205.301,1280067.684,Fiischterbuck
10696,2723406.22,1280117.403,Lanterswilen
10697,2701971.365,1280129.698,Neuhof
10698,2701548.753,1280103.102,Weierhof
10700,2700794.893,1280002.82,Marsburg
10701,2718243.303,1279971.73,Heretswilen
10702,2717451.427,1279970.369,Dietenhausen
10703,2704120.953,1279898.652,Buck
10704,2701880.388,1279850.579,Riet
10705,2698077.727,1279750.704,Chalchofe
10706,2698716.384,1279763.472,Rotenbuck
10708,2724453.942,1279742.456,Lerchhof
10709,2698474.515,1279598.758,Sunnenhof
10710,2696979.014,1279460.889,Bargihof
10711,2715094.22,1279436.88,Hardhof
10712,2704589.26,1279418.343,Büel
10713,2718235.36,1279404.683,Waldhof
10714,2705669.526,1279326.74,Klingenriet
10715,2697299.012,1279234.771,Sennhof
10716,2707298.585,1279258.55,Werd
10717,2723951.042,1279254.206,Oberhöhnwilen
10718,2696834.787,1279219.86,Egelsee
10719,2729140.549,1279204.768,Hochstrasse-Gut
10720,2701406.362,1279179.21,Neubrunn
10721,2699711.596,1279175.87,Moosbuck
10722,2720309.62,1279135.094,Rennental
10723,2703889.133,1279125.339,Sängi
10724,2701662.003,1279087.056,Oberbrunn
10725,2712796.665,1279016.865,Chuehörnli
10726,2713300.134,1279043.028,Seehof
10727,2731508.358,1279024.101,Seeburg
10728,2692913.635,1278938.13,Im Bergli
10729,2698127.321,1278855.496,Belzhalden
10730,2712962.84,1278870.758,Rollirain
10731,2700998.739,1278851.202,Ulmerhof
10732,2697471.752,1278834.684,Tägerbuch
10733,2727606.81,1278703.002,Pfaffeschlössli
10734,2704624.297,1278781.572,Försterhaus
10735,2717187.976,1278770.681,Mauren
10736,2712443.278,1278732.801,Zur Neuburg
10737,2726467.463,1278745.028,Staudenhof
10738,2727981.148,1278671.272,Pfaffenbüel
10739,2718038.805,1278626.654,Haidenhaus
10740,2712158.423,1278582.669,Freienstein
10741,2715055.44,1278511.828,Hagenbuch
10742,2716264.164,1278480.77,Bulgen
10743,2705886.337,1278424.784,Neuhaus
10744,2699250.066,1278465.358,Josenbuck
10745,2714428.555,1278418.474,Maxenhof
10746,2715462.232,1278411.736,Freudenberg
10747,2700382.32,1278386.468,Furtmühle
10748,2704863.347,1278425.05,Gmeindwiesli
10749,2728094.593,1278353.263,Nagelshausen
10750,2712948.142,1278317.966,Rosenberg
10751,2715794.65,1278293.381,Götschenhäusli
10752,2700209.521,1278269.473,Bühlhof
10753,2711859.037,1278255.915,Friedberg
10754,2705656.89,1278227.848,Untergiger
10755,2714242.152,1278253.754,Freieck
10756,2705319.791,1278205.363,Berg
10757,2693522.539,1278241.509,Grüthof
10758,2715651.534,1278219.331,Hochstrasse
10759,2705940.772,1278188.627,Steinbach
10760,2718296.874,1278066.884,Eugerswil
10761,2711394.535,1278114.275,Heiligebärg
10762,2705539.613,1278113.842,Obergiger
10763,2719766.704,1278122.752,Maltbach
10764,2714611.901,1278126.474,Oberhelmetshausen
10765,2715238.874,1278131.257,Seelwiesen
10766,2693052.072,1278006.246,Waldheim
10767,2706816.884,1277993.3,Hüttenberg
10768,2719444.211,1277999.372,Halden
10769,2690644.065,1277903.831,Im Hintergraben
10770,2706195.046,1277910.713,Freihof
10771,2721231.182,1277927.523,Oberfischbach
10772,2713733.67,1277909.999,Lindenhof
10773,2707050.749,1277840.782,Hinternäbli
10774,2712177.178,1277787.521,Seehalde
10776,2718676.047,1277765.87,Geisshaus
10777,2705202.304,1277769.316,Buchhof
10778,2705571.775,1277752.574,Speckhof
10779,2720468.502,1277781.55,Blumenau
10780,2709746.117,1277745.144,Halde
10781,2694791.692,1277723.355,Eichhof
10782,2714867.542,1277727.235,Neuhof
10783,2718444.621,1277546.414,Löhren
10784,2707145.836,1277488.293,Guggenbüel
10785,2706335.941,1277470.005,Iben
10786,2722456.333,1277472.964,Eichhof
10787,2731308.692,1277404.992,Schrofen
10788,2720437.423,1277446.484,Sonnenberg
10789,2715337.803,1277306.781,Freihof
10790,2733607.348,1277286.562,Lindehof
10791,2718869.572,1277248.924,Bächler
10792,2695711.226,1277195.732,Sunnacker
10793,2697700.257,1277209.141,Mattenhof
10794,2735718.777,1277169.833,Weidhof
10795,2710699.512,1277197.121,Störenberg
