"Var1";"Freq"
" aa";1
" au";2
" bu";1
" ca";1
" cò";1
" ei";1
" en";2
" ey";1
" fa";1
" fl";1
" fò";1
" là";3
" lé";8
" ma";1
" mâ";2
" my";1
" ne";1
" nê";1
" sé";2
" si";1
" su";1
" té";2
" tô";1
" tu";1
" vâ";1
" vy";2
"-au";1
"-ch";2
"'as";1
"'el";1
"'er";1
"'or";4
"'ur";1
"aa";2
"aab";1
"aac";1
"aad";29
"aag";5
"aan";3
"aar";4
"aas";6
"ääs";1
"aat";2
"aax";1
"äba";1
"abe";43
"abé";3
"abi";5
"äbi";16
"abò";1
"âbo";1
"abs";2
"aby";1
"aca";2
"ace";8
"ach";845
"äch";19
"ack";35
"äck";1
"acs";1
"acu";2
"ada";26
"áda";1
"âda";1
"ade";9
"adé";1
"adè";1
"adi";8
"ädi";3
"ado";7
"adt";7
"ädt";1
"adu";1
"aèd";1
"aël";1
"äen";1
"afa";1
"äfa";1
"afe";1
"afo";2
"afò";1
"aft";6
"afz";1
"aga";11
"äga";1
"age";26
"äge";45
"agg";1
"ägg";1
"agh";1
"agi";14
"ägi";5
"agl";5
"agn";13
"ago";17
"ags";2
"ähl";6
"ahn";6
"ähn";1
"aho";1
"ahr";6
"ahy";3
"aia";4
"aid";4
"aie";4
"ail";6
"ain";192
"aìn";1
"aio";4
"aiò";1
"air";7
"äir";1
"ais";39
"äis";1
"aix";1
"aja";2
"äje";1
"aju";1
"ala";15
"àlà";1
"âla";1
"äla";1
"alb";11
"ald";222
"äld";1
"ale";16
"alé";1
"alè";1
"âle";2
"âlè";2
"äle";6
"älf";1
"älg";18
"ali";16
"âli";1
"äli";12
"all";41
"äll";3
"alm";31
"alo";3
"alö";1
"alp";268
"als";24
"äls";1
"alt";1
"alü";1
"alv";1
"aly";1
"ama";5
"ame";7
"amè";1
"âme";1
"ami";1
"ämi";1
"amm";27
"amp";12
"ams";3
"amù";1
"ana";68
"âna";1
"äna";1
"anc";16
"and";459
"änd";26
"ane";12
"ané";7
"anè";2
"âne";8
"anf";1
"ang";149
"äng";4
"ani";10
"äni";4
"ank";21
"änk";1
"ann";24
"änn";2
"ano";57
"âno";2
"ans";46
"ant";43
"änt";4
"any";5
"anz";6
"âpa";2
"apé";2
"apè";1
"âpe";5
"apf";57
"app";3
"apy";1
"ara";8
"âra";1
"ära";9
"arb";6
"arc";1
"ard";144
"ärd";4
"are";13
"aré";2
"arè";2
"äre";2
"ärg";12
"ari";1
"arì";1
"äri";3
"ark";3
"arl";1
"arm";2
"arn";9
"aro";6
"arp";1
"ars";14
"art";45
"aru";1
"ary";8
"arz";7
"asa";5
"asc";15
"ase";17
"äsi";6
"aso";1
"asp";10
"ass";51
"äss";126
"ast";12
"äst";2
"äsu";2
"ata";12
"ate";8
"até";5
"ath";2
"ati";3
"äti";1
"ato";5
"ats";24
"att";1078
"ätt";10
"aty";1
"atz";30
"ätz";6
"au";40
"aua";1
"aub";8
"aud";22
"aue";1
"auf";1
"aui";27
"äui";4
"aul";3
"aum";34
"aun";27
"aùn";1
"aur";2
"aus";350
"aut";64
"auw";1
"äuw";1
"aux";190
"ava";4
"avà";1
"ave";3
"âvé";1
"avi";1
"ävi";1
"avo";2
"avò";1
"avù";1
"avy";2
"awi";1
"aya";1
"aye";31
"âye";1
"ayo";1
"ays";8
"aza";1
"äze";1
"azi";1
"azo";1
"azö";1
"azù";1
"bac";1
"bad";81
"bal";1
"ban";9
"bär";1
"bas";56
"bat";1
"bau";3
"bay";1
"baz";8
"bäz";1
"bbé";1
"bec";1
"bel";399
"ben";202
"ber";25
"bes";37
"bet";6
"bex";5
"bey";7
"bia";10
"bie";3
"big";1
"bin";4
"bio";15
"biò";1
"bir";1
"bis";12
"bja";1
"bji";1
"bla";3
"ble";16
"blé";1
